date 	index
Jan-87	0.6282
Feb-87	0.6339
Mar-87	0.6387
Apr-87	0.6457
May-87	0.6556
Jun-87	0.6659
Jul-87	0.6754
Aug-87	0.6825
Sep-87	0.6887
Oct-87	0.6942
Nov-87	0.6976
Dec-87	0.7022
Jan-88	0.7045
Feb-88	0.7077
Mar-88	0.7112
Apr-88	0.7165
May-88	0.7248
Jun-88	0.7363
Jul-88	0.7481
Aug-88	0.757
Sep-88	0.764
Oct-88	0.769
Nov-88	0.7728
Dec-88	0.7758
Jan-89	0.7799
Feb-89	0.7836
Mar-89	0.7912
Apr-89	0.7983
May-89	0.8052
Jun-89	0.8124
Jul-89	0.8166
Aug-89	0.8208
Sep-89	0.8225
Oct-89	0.8244
Nov-89	0.8243
Dec-89	0.8235
Jan-90	0.8229
Feb-90	0.8215
Mar-90	0.8202
Apr-90	0.8205
May-90	0.8201
Jun-90	0.8219
Jul-90	0.821
Aug-90	0.8186
Sep-90	0.8139
Oct-90	0.8084
Nov-90	0.8009
Dec-90	0.7938
Jan-91	0.7853
Feb-91	0.7777
Mar-91	0.77
Apr-91	0.7686
May-91	0.7731
Jun-91	0.7802
Jul-91	0.7861
Aug-91	0.7893
Sep-91	0.7888
Oct-91	0.7868
Nov-91	0.7831
Dec-91	0.7799
Jan-92	0.7774
Feb-92	0.7751
Mar-92	0.7731
Apr-92	0.7736
May-92	0.7762
Jun-92	0.7794
Jul-92	0.7795
Aug-92	0.7799
Sep-92	0.7776
Oct-92	0.7745
Nov-92	0.7709
Dec-92	0.7668
Jan-93	0.7656
Feb-93	0.7628
Mar-93	0.7591
Apr-93	0.7583
May-93	0.7604
Jun-93	0.7651
Jul-93	0.7661
Aug-93	0.7659
Sep-93	0.7647
Oct-93	0.7622
Nov-93	0.7602
Dec-93	0.7571
Jan-94	0.7571
Feb-94	0.7563
Mar-94	0.7573
Apr-94	0.7603
May-94	0.7649
Jun-94	0.7704
Jul-94	0.774
Aug-94	0.7764
Sep-94	0.7757
Oct-94	0.775
Nov-94	0.7723
Dec-94	0.7699
Jan-95	0.7682
Feb-95	0.7664
Mar-95	0.7638
Apr-95	0.7636
May-95	0.766
Jun-95	0.7694
Jul-95	0.7726
Aug-95	0.7747
Sep-95	0.7743
Oct-95	0.7726
Nov-95	0.7695
Dec-95	0.7668
Jan-96	0.7656
Feb-96	0.7644
Mar-96	0.7649
Apr-96	0.7684
May-96	0.7733
Jun-96	0.7778
Jul-96	0.781
Aug-96	0.7836
Sep-96	0.7837
Oct-96	0.7836
Nov-96	0.7823
Dec-96	0.7812
Jan-97	0.7808
Feb-97	0.7798
Mar-97	0.7829
Apr-97	0.7876
May-97	0.7942
Jun-97	0.8025
Jul-97	0.8086
Aug-97	0.8141
Sep-97	0.8157
Oct-97	0.8183
Nov-97	0.8198
Dec-97	0.8231
Jan-98	0.827
Feb-98	0.8313
Mar-98	0.8387
Apr-98	0.8469
May-98	0.8577
Jun-98	0.8703
Jul-98	0.8814
Aug-98	0.8901
Sep-98	0.8958
Oct-98	0.898
Nov-98	0.8976
Dec-98	0.8982
Jan-99	0.9006
Feb-99	0.9048
Mar-99	0.9131
Apr-99	0.9255
May-99	0.9369
Jun-99	0.951
Jul-99	0.9628
Aug-99	0.9731
Sep-99	0.9799
Oct-99	0.9848
Nov-99	0.9894
Dec-99	0.9951
Jan-00	1
Feb-00	1.0081
Mar-00	1.0224
Apr-00	1.0401
May-00	1.0598
Jun-00	1.0783
Jul-00	1.0902
Aug-00	1.1007
Sep-00	1.109
Oct-00	1.1175
Nov-00	1.126
Dec-00	1.1356
Jan-01	1.1458
Feb-01	1.1545
Mar-01	1.1669
Apr-01	1.1794
May-01	1.1894
Jun-01	1.2003
Jul-01	1.2101
Aug-01	1.2199
Sep-01	1.2289
Oct-01	1.2346
Nov-01	1.2378
Dec-01	1.2364
Jan-02	1.2393
Feb-02	1.2445
Mar-02	1.2592
Apr-02	1.2795
May-02	1.3033
Jun-02	1.3276
Jul-02	1.3504
Aug-02	1.3704
Sep-02	1.3862
Oct-02	1.4012
Nov-02	1.4126
Dec-02	1.4218
Jan-03	1.4286
Feb-03	1.4359
Mar-03	1.4484
Apr-03	1.4645
May-03	1.4817
Jun-03	1.497
Jul-03	1.5165
Aug-03	1.5361
Sep-03	1.5577
Oct-03	1.5771
Nov-03	1.5955
Dec-03	1.6127
Jan-04	1.629
Feb-04	1.6482
Mar-04	1.6791
Apr-04	1.7158
May-04	1.7543
Jun-04	1.7945
Jul-04	1.8269
Aug-04	1.8495
Sep-04	1.8691
Oct-04	1.8865
Nov-04	1.9008
Dec-04	1.9142
Jan-05	1.9335
Feb-05	1.9587
Mar-05	1.9921
Apr-05	2.0251
May-05	2.0576
Jun-05	2.0886
Jul-05	2.1165
Aug-05	2.1413
Sep-05	2.1677
Oct-05	2.1907
Nov-05	2.2081
Dec-05	2.2191
Jan-06	2.2246
Feb-06	2.2338
Mar-06	2.2375
Apr-06	2.2499
May-06	2.2599
Jun-06	2.2629
Jul-06	2.2617
Aug-06	2.2554
Sep-06	2.251
Oct-06	2.2474
Nov-06	2.2394
Dec-06	2.2239
Jan-07	2.2131
Feb-07	2.2046
Mar-07	2.1967
Apr-07	2.1894
May-07	2.1834
Jun-07	2.1737
Jul-07	2.163
Aug-07	2.1463
Sep-07	2.1273
Oct-07	2.0976
Nov-07	2.0526
Dec-07	2.0067
Jan-08	1.9607
Feb-08	1.906
Mar-08	1.8612
Apr-08	1.8335
May-08	1.8156
Jun-08	1.8052
Jul-08	1.7867
Aug-08	1.7671
Sep-08	1.7335
Oct-08	1.6967
Nov-08	1.6595
Dec-08	1.6209
Jan-09	1.5796
Feb-09	1.5461
Mar-09	1.5148
Apr-09	1.5044
May-09	1.5119
Jun-09	1.5335
Jul-09	1.5595
Aug-09	1.5807
Sep-09	1.5877
Oct-09	1.5868
Nov-09	1.5833
Dec-09	1.5816
Jan-10	1.5787
Feb-10	1.5685
Mar-10	1.5621
Apr-10	1.5735
May-10	1.5941
Jun-10	1.6106
Jul-10	1.6224
Aug-10	1.6201
Sep-10	1.61
Oct-10	1.589
Nov-10	1.575
Dec-10	1.5604
Jan-11	1.5436
Feb-11	1.5238
Mar-11	1.5091
Apr-11	1.5178
May-11	1.5333
Jun-11	1.5487
Jul-11	1.5632
Aug-11	1.5651
Sep-11	1.5561
Oct-11	1.5353
Nov-11	1.514
Dec-11	1.4958
Jan-12	1.4799
Feb-12	1.4662
Mar-12	1.4645
Apr-12	1.4844
May-12	1.5175
Jun-12	1.5494
Jul-12	1.5721
Aug-12	1.5852
Sep-12	1.5894
Oct-12	1.5867
Nov-12	1.5827
Dec-12	1.586
Jan-13	1.5861
Feb-13	1.5909
Mar-13	1.6113
Apr-13	1.6535
May-13	1.6947
Jun-13	1.7317
Jul-13	1.7639
Aug-13	1.7871
Sep-13	1.7997
Oct-13	1.8029
Nov-13	1.802
Dec-13	1.8007
Jan-14	1.8008
